WANID	Provider	WANType	LineSpeed	UploadSpeed	DownloadSpeed	UploadShaping	WANNetwork	WANIP	CircuitID	LOCID	PhoneNumber	AssetTag	ServiceType
LDBRS026-1	TELUS	ADSL	NULL	NULL	NULL	835000	10.46.0.152/29	10.46.0.154	1434378	MCB070-00	NULL	1140570-SO	NULL
LDBRS027-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	NULL	10.46.0.160/29	10.46.0.162	1349092	MIS050-00	6048142974	1349092-SO	NULL
LDBRS028-1	TELUS	ADSL	NULL	NULL	NULL	555000	10.46.0.168/29	10.46.0.170	1430408	SPA080-00	250-425-2940	1430408-SO	NULL
LDBRS029-1	TELUS	STS WAN L3 VPN Fiber CE	NULL	NULL	NULL	825000	10.46.0.176/29	10.46.0.178	1372180	MER530-00	NULL	1372180-SO	NULL
LDBRS031-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	NULL	10.46.0.184/29	10.46.0.186	1349104	NEW350-00	6045223408	1349104-SO	NULL
LDBRS032-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	555000	10.46.0.192/29	10.46.0.194	1359375	NEL350-00	NULL	1137340-SO	NULL
LDBRS033-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	875000	10.46.0.200/29	10.46.0.202	1347764	NAN390-00	2507161081	1347764-SO	NULL
LDBRS033-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.114.56/30	184.69.114.58	1281782457	NULL	NULL	NULL	BI 50
LDBRS034-1	TELUS	ADSL	NULL	NULL	NULL	495000	10.46.0.208/29	10.46.0.210	1434287	QUA020-00	250-752-1853	1434287-SO	NULL
LDBRS035-1	TELUS	Fiber	1.5M	NULL	NULL	NULL	10.46.0.216/29	10.46.0.218	1142137	PRU040-00	NULL	1142137-SO	NULL
LDBRS037-1	TELUS	ADSL	NULL	NULL	NULL	665000	10.46.0.224/29	10.46.0.226	1141080	PRN040-00	NULL	1141080-SO	NULL
LDBRS038-1	TELUS	ADSL	NULL	NULL	NULL	875000	10.46.0.232/29	10.46.0.234	1354731	VANB15-00	NULL	1308481-SO	NULL
LDBRS040-1	TELUS	STS WAN VPN Fiber CE	NULL	NULL	NULL	775000	10.46.0.240/29	10.46.0.242	1372192	PAL140-00	NULL	1372342-SO	NULL
LDBRS041-1	TELUS	ADSL	NULL	NULL	NULL	875000	10.46.0.248/29	10.46.0.250	1349070	POW020-00	NULL	1349070-SO	NULL
LDBRS042-1	TELUS	ADSL	NULL	NULL	NULL	685000	10.46.1.0/29	10.46.1.2	1359409	PAR380-00	NULL	1139212-SO	NULL
LDBRS042-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.71.21.152/30	184.71.21.154	1281795450	NULL	NULL	NULL	BI 50
LDBRS043-1	TELUS	ADSL	NULL	NULL	NULL	495000	10.46.1.8/29	10.46.1.10	1433028	QUE210-00	NULL	1140558-SO	NULL
LDBRS044-1	TELUS	ADSL	NULL	NULL	NULL	835000	10.46.1.16/29	10.46.1.18	1137330	ROS130-00	NULL	1137330-SO	NULL
LDBRS045-1	TELUS	STS WAN L3 VPN ADSL	NULL	NULL	NULL	825000	10.46.1.24/29	10.46.1.26	1372907	REV060-00	2508373279	1372907-SO	NULL
LDBRS046-1	TELUS	NBC WAN L3 VPN ASYM CE	NULL	NULL	NULL	875000	10.46.1.32/29	10.46.1.34	1467994	SMIAH0-00	250-847-4639	1467994-SO	NULL
LDBRS047-1	TELUS	Fiber	1.5M	NULL	NULL	835000	10.46.1.40/29	10.46.1.42	1353764	STE150-00	250-636-2819	1353764-SO	NULL
LDBRS048-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	545000	10.46.6.88/29	10.46.6.90	1359398	SAL440-00	2508325084	1334440-SO	NULL
LDBRS049-1	TELUS	ADSL	NULL	NULL	NULL	825000	10.46.1.56/29	10.46.1.58	1137513	END060-00	NULL	1137513-SO	NULL
LDBRS050-1	TELUS	ADSL	NULL	NULL	NULL	875000	10.46.1.64/29	10.46.1.66	1348412	SIDAJ0-00	NULL	1141154-SO	NULL
LDBRS051-1	TELUS	ADSL	NULL	NULL	NULL	745000	10.46.1.72/29	10.46.1.74	1423374	TRA130-00	NULL	1137324-SO	NULL
LDBRS052-1	TELUS	STS WAN L3 VPN ADSL	NULL	NULL	NULL	555000	10.46.1.80/29	10.46.1.82	1408806	TER730-00	NULL	1408806-SO	NULL
LDBRS053-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	875000	10.46.1.88/29	10.46.1.90	1352013	VANEX0-00	604-697-0590	1352013-SO	NULL
LDBRS055-1	TELUS	STS WAN LC VPN T1 CE	1.5Mbps	NULL	NULL	1475000	10.46.1.96/29	10.46.1.98	1340291	GRV040-00	250-283-7629	1340291-MO	NULL
LDBRS059-1	TELUS	ADSL STS WAN L3 VPN CE	NULL	NULL	NULL	875000	10.46.1.120/29	10.46.1.122	1348240	CSA010-00	NULL	1348240-SO	NULL
LDBRS060-1	TELUS	ADSL	NULL	NULL	NULL	715000	10.46.1.128/29	10.46.1.130	1408404	CCK050-00	NULL	1139886-SO	NULL
LDBRS063-1	TELUS	ADSL	NULL	NULL	NULL	495000	10.46.1.144/29	10.46.1.146	1433414	WILBD0-00	NULL	1141133-SO	NULL
LDBRS064-1	TELUS	ADSL	NULL	NULL	NULL	625000	10.46.1.152/29	10.46.1.154	1433870	AGA030-00	NULL	1137515-SO	NULL
LDBRS065-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	525000	10.46.1.160 /29	10.46.1.162	1355198	MAP620-00	NULL	1140274-SO	NULL
LDBRS066-1	TELUS	ADSL	NULL	NULL	NULL	875000	10.46.1.168/29	10.46.1.170	1409212	KIM080-00	NULL	1137565-SO	NULL
LDBRS067-1	TELUS	ADSL	NULL	NULL	NULL	825000	10.46.1.176/29	10.46.1.178	1372803	LCO060-00	NULL	1141450-SO	NULL
LDBRS068-1	TELUS	ADSL	NULL	NULL	NULL	NULL	10.46.1.184/29	10.46.1.186	1141408	NULL	NULL	NULL	NULL
LDBRS069-1	TELUS	ADSL	NULL	NULL	NULL	555000	10.46.1.192/29	10.46.1.194	1433435	OLI180-00	NULL	1139241-SO	NULL
LDBRS070-1	TELUS	STS WAN L3 VPN ADSL	NULL	NULL	NULL	875000	10.46.1.200/29	10.46.1.202	1351993	SURKF0-00	604-575-6406	1351993-SO	NULL
LDBRS071-1	TELUS	ADSL	NULL	NULL	NULL	495000	10.46.1.208/29	10.46.1.210	1359630	HOP210-00	NULL	1141724-SO	NULL
LDBRS072-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	875000	10.46.1.216/29	10.46.1.218	1344866	WVA355-00	604-921-3342	1344866-SO	NULL
LDBRS073-1	TELUS	ADSL	NULL	NULL	NULL	555000	10.46.1.224/29	10.46.1.226	1140276	BUL310-00	NULL	1140276-SO	NULL
LDBRS074-1	TELUS	ADSL	NULL	NULL	NULL	495000	10.46.1.232/29	10.46.1.234	1137898	NDE080-00	NULL	1137898-SO	NULL
LDBRS075-1	TELUS	STS WAN L3 VPN ADSL	NULL	NULL	NULL	455000	10.46.1.240/29	10.46.1.242	1383654	CRE110-00	NULL	1383654-SO	NULL
LDBRS076-1	TELUS	ADSL	NULL	NULL	NULL	495000	10.46.1.248 /29	10.46.1.250	1434228	RIC030-00	NULL	1141027-SO	NULL
LDBRS077-1	TELUS	ADSL	NULL	NULL	NULL	875000	10.46.2.0/29	10.46.2.2	1352310	BUR245-00	NULL	1200975-SO	NULL
LDBRS078-1	TELUS	ADSL	NULL	NULL	NULL	495000	10.46.2.8/29	10.46.2.10	1433993	CSTAK0-00	NULL	1137931-SO	NULL
LDBRS079-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	875000	10.46.2.16/29	10.46.2.18	1332683	KAM650-00	250-374-6729	1332683-SO	NULL
LDBRS080-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	515000	10.46.2.24/29	10.46.2.26	1409078	GIB060-00	604-886-5983	1409078-SO	NULL
LDBRS081-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	495000	10.46.2.32/29	10.46.2.34	1407414	VDH200-00	NULL	1407414-SO	NULL
LDBRS083-1	TELUS	ADSL	NULL	NULL	NULL	835000	10.46.2.40/29	10.46.2.42	1372349	OSO040-00	NULL	1140578-SO	NULL
LDBRS086-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	495000	10.46.2.48/29	10.46.2.50	1408828	SUM100-00	NULL	1408828-SO	NULL
LDBRS088-1	TELUS	ADSL	NULL	NULL	NULL	715000	10.46.2.56 /29	10.46.2.58	1434118	CLW120-00	250-674-0125	1434118-SO	NULL
LDBRS089-1	TELUS	STS WAN L3 VPN ADSL	NULL	NULL	NULL	815000	10.46.2.64/29	10.46.2.66	1352004	PCO120-00	604-468-1545	1352004-SO	NULL
LDBRS090-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	875000	10.46.2.72/29	10.46.2.74	1344756	VAN160-00	604-221-6183	1344756-SO	NULL
LDBRS091-1	TELUS	ADSL	NULL	NULL	NULL	875000	10.46.2.80/29	10.46.2.82	1382458	FRL060-00	NULL	1382458-SO	NULL
LDBRS092-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	825000	10.46.2.88/29	10.46.2.90	1409046	SIC050-00	NULL	1409046-SO	NULL
LDBRS093-1	TELUS	ADSL	NULL	NULL	NULL	555000	10.46.2.96/29	10.46.2.98	1461867	MAD030-00	604-883-2160	1461867-SO	NULL
LDBRS094-1	TELUS	ADSL - CE	NULL	NULL	NULL	NULL	10.46.2.104/29	10.46.2.106	1344996	VAN840-00	6046889780	1344996-SO	NULL
LDBRS095-1	TELUS	ADSL	NULL	NULL	NULL	445000	10.46.2.112/29	10.46.2.114	1432558	FRU050-00	250-367-2117	1432558-SO	NULL
LDBRS096-1	TELUS	ADSL	NULL	NULL	NULL	555000	10.46.2.120/29	10.46.2.122	1140491	VAL140-00	NULL	1140491-SO	NULL
LDBRS097-1	TELUS	ADSL	NULL	1M	6
6M	875000	10.46.2.128 /29	10.46.2.130	1351958	NEW320-00	604-540-2146	1351958-SO	NULL
LDBRS098-1	TELUS	ADSL	NULL	NULL	NULL	815000	10.46.2.136/29	10.46.2.138	1351925	DEL040-00	NULL	1137115-SO	NULL
LDBRS099-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	495000	10.46.2.144/29	10.46.2.146	1354351	HOU140-00	NULL	1141272-SO	NULL
LDBRS100-1	TELUS	ADSL	NULL	NULL	NULL	875000	10.46.2.152/29	10.46.2.154	1352153	VAN570-00	NULL	1140910-SO	NULL
LDBRS101-1	TELUS	STS Wan L3 VPN ADSL CE	NULL	NULL	NULL	875000	10.46.2.160/29	10.46.2.162	1320673	PEM001-00	604-894-5970	1320673-SO	NULL
LDBRS102-1	TELUS	STS WAN L3 VPN ADSL	NULL	1M	6M	875000	10.46.2.168/29	10.46.2.170	1351904	VANAL0-00	604-221-8083	1351904-SO	NULL
LDBRS105-1	TELUS	STS WAN L3 VPN T1 CE	1.5Mbps	NULL	NULL	1475000	10.46.2.176/29	10.46.2.178	1340922	MST040-00	250-626-3592	1340922-MO	NULL
LDBRS106-1	TELUS	ADSL	NULL	NULL	NULL	495000	10.46.2.184/29	10.46.2.186	1452721	MAC060-00	250-997-3740	1452721-SO	NULL
LDBRS107-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	555000	10.46.2.192/29	10.46.2.194	1354752	NVACY0-00	604-983-2064	1354752-SO	NULL
LDBRS109-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	875000	10.46.2.200/29	10.46.2.202	1344824	ALDAI0-00	604-221-6183	1344824-SO	NULL
LDBRS110-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	875000	10.46.2.208/29	10.46.2.210	1348470	SUR730-00	6045350328	1348470-SO	NULL
LDBRS111-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	775000	10.46.2.216/29	10.46.2.218	1359421	VANAA0-00	NULL	1137278-SO	NULL
LDBRS112-1	TELUS	ADSL	NULL	NULL	NULL	775000	10.46.2.224/29	10.46.2.226	1372057	VANGN0-00	NULL	1137328-SO	NULL
LDBRS113-1	TELUS	STS Wan L3 VPN ADSL CE	NULL	NULL	NULL	875000	10.46.2.232/29	10.46.2.234	1313008	VANOP0-00	604-433-3908	1313008-SO	NULL
LDBRS114-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	545000	10.46.2.240/29	10.46.2.242	1324823	PRGHN0-00	250-962-2758	1324823-SO	NULL
LDBRS115-1	TELUS	ADSL	NULL	NULL	NULL	435000	10.46.2.248/29	10.46.2.250	1430414	PMC060-00	NULL	1141494-SO	NULL
LDBRS117-1	TELUS	Fiber CE	10M	NULL	NULL	9295000	10.46.3.0/29	10.46.3.2	1348038	VAN067-00	604-734-0139	1348038-SO	NULL
LDBRS118-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	775000	10.46.3.8/29	10.46.3.10	1410780	TOF020-00	NULL	1410779-SO	NULL
LDBRS120-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	825000	10.46.3.16/29	10.46.3.18	1355030	RICBQ0-00	604-261-0410	1349266-SO	NULL
LDBRS122-1	TELUS	STS WAN L3 VPN ADSL	NULL	NULL	NULL	875000	10.46.3.24/29	10.46.3.26	1351703	SUR890-00	604-584-6142	1351705-SO	NULL
LDBRS123-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	605000	10.46.3.32/29	10.46.3.34	1354911	VANGO0-00	NULL	1141442-SO	NULL
LDBRS124-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	875000	10.46.3.40/29	10.46.3.42	1348198	SAH460-00	250-383-0095	1348198-SA	NULL
LDBRS125-1	TELUS	STS WAN L3 VPN ADSL	NULL	NULL	NULL	875000	10.46.3.48/29	10.46.3.50	1352362	LGF110-00	250-478-1429	1352362-SO	NULL
LDBRS127-1	TELUS	ADSL	NULL	NULL	NULL	825000	10.46.3.56/29	10.46.3.58	1361981	FLA010-00	604-888-8023	1361981-SO	NULL
LDBRS128-1	TELUS	STS WAN L3 VPN T1 CE	1.5Mbps	NULL	NULL	1475000	10.46.3.64/29	10.46.3.66	1339981	PACAA0-00	2502843259	1339981-MO	NULL
LDBRS129-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	815000	10.46.3.72/29	10.46.3.74	1348520	VAN845-00	6046991682	1348520	NULL
LDBRS129-2	SHAW	Cable	NULL	NULL	NULL	NULL	96.53.36.168/30	96.53.36.170	1418258942	NULL	NULL	NULL	BI 50
LDBRS130-1	TELUS	STS WAN L3 VPN Fiber CE	10Mbps	NULL	NULL	9295000	10.46.3.80/29	10.46.3.82	1332845	PEN220-00	250-492-2923	1332845-LO	NULL
LDBRS131-1	TELUS	ADSL	NULL	NULL	NULL	555000	10.46.3.88/29	10.46.3.90	1447350	ELK070-00	NULL	1447350-SO	NULL
LDBRS133-1	TELUS	ADSL	NULL	NULL	NULL	695000	10.46.3.96/29	10.46.3.98	1361894	NVA240-00	NULL	1141467-SO	NULL
LDBRS134-1	TELUS	ADSL	NULL	NULL	NULL	495000	10.46.3.104/29	10.46.3.106	1433974	GAB010-00	NULL	1140411-SO	NULL
LDBRS135-1	TELUS	STS WAN L3 VPN T1 CE	1.5Mbps	NULL	NULL	1475000	10.46.3.112/29	10.46.3.114	1340960	VER660-00	2505410528	1340960-MO	NULL
LDBRS136-1	TELUS	ADSL	NULL	NULL	NULL	875000	10.46.3.120/29	10.46.3.122	1348712	VAN510-00	NULL	1348712-SO	NULL
LDBRS137-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	NULL	10.46.7.128/29	10.46.7.130	1355849	BUR305-00	604-205-6948	1355849-SO	NULL
LDBRS138-1	TELUS	ADSL	NULL	NULL	NULL	665000	10.46.3.128/29	10.46.3.130	1434336	BAR080-00	NULL	1141474-SO	NULL
LDBRS139-1	TELUS	STS WAN L3 VPN ADSL	NULL	NULL	NULL	445000	10.46.3.136/29	10.46.3.138	1373206	LOG130-00	NULL	1373206-SO	NULL
LDBRS140-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	885000	10.46.3.144/29	10.46.3.146	1345726	SAH120-00	2503838138	1345726-SO	NULL
LDBRS143-1	TELUS	ADSL	NULL	NULL	NULL	815000	10.46.3.152/29	10.46.3.154	1348706	WSB170-00	NULL	1348706-SO	NULL
LDBRS145-1	TELUS	ADSL	NULL	NULL	NULL	695000	10.46.3.160/29	10.46.3.162	1360704	DEL115-00	604-599-4824	1360704-SO	NULL
LDBRS147-1	TELUS	ADSL	NULL	NULL	NULL	425000	10.46.3.168/29	10.46.3.170	1354770	KAM880-00	NULL	1141200-SO	NULL
LDBRS148-1	TELUS	ADSL	NULL	NULL	NULL	475000	10.46.3.176/29	10.46.3.178	1355322	KEL040-00	250-868-1329	1355322-SO	NULL
LDBRS149-1	TELUS	ADSL CE	NULL	NULL	NULL	875000	10.46.3.184/29	10.46.3.186	1345098	ABB510-00	6045568182	1345098-SO	NULL
LDBRS150-1	TELUS	STS WAN L3 VPN ADSL	NULL	NULL	NULL	815000	10.46.3.192/29	10.46.3.194	1405983	VIC625-00	250-383-1783	1405983-SO	NULL
LDBRS152-1	TELUS	STS WAN L3 VPN ADSL	NULL	NULL	NULL	875000	10.46.3.200/29	10.46.3.202	1351699	NVA130-00	604-984-0926	1351699-SO	NULL
LDBRS153-1	TELUS	ADSL	NULL	NULL	NULL	695000	10.46.3.208/29	10.46.3.210	1361732	COQ070-00	NULL	1361732-SO	NULL
LDBRS154-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	875000	10.46.3.216/29	10.46.3.218	1345864	PRG320-00	2509642382	1345864-SO	NULL
LDBRS155-1	TELUS	STS WAN L3 VPN (T1) CE	1.5M	NULL	NULL	1475000	10.46.3.224/29	10.46.3.226	1339475	PND080-00	2506296342	1339475-MO	NULL
LDBRS157-1	TELUS	ADSL	NULL	NULL	NULL	695000	10.46.3.232/29	10.46.3.234	1379433	PAR150-00	NULL	1379433-SO	NULL
LDBRS158-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	705000	10.46.3.240/29	10.46.3.242	1354470	LAN390-00	NULL	1141150-SO	NULL
LDBRS158-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.19.36/30	184.68.19.38	1418258845	NULL	NULL	NULL	BI 50
LDBRS160-1	TELUS	Fiber CE	10Mbps	NULL	NULL	9295000	10.46.3.248/29	10.46.3.250	1344545	VAN860-00	6042690398	1344545-LO	NULL
LDBRS160-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.19.72/30	184.68.19.74	1418259906	NULL	NULL	NULL	BI 50
LDBRS161-1	TELUS	STS L3 WAN VPN ADSL	NULL	NULL	NULL	875000	10.46.4.0/29	10.46.4.2	1351557	VICYN0-00	250-383-9738	1351557-SO	NULL
LDBRS161-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.71.15.84/30	184.71.15.86	1281772711	NULL	NULL	NULL	BI 50
LDBRS163-1	TELUS	STS WAN L3 VPN Fiber CE	10Mbps	NULL	NULL	9295000	10.46.4.8/29	10.46.4.10	1347580	PCO230-00	6044641609	1347580-LO	NULL
LDBRS165-1	TELUS	STS WAN L3 VPN ADSL	NULL	NULL	NULL	875000	10.46.4.16/29	10.46.4.18	1351977	PIT030-00	604-465-0379	1351977-SO	NULL
LDBRS166-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	435000	10.46.4.24/29	10.46.4.26	1407416	WIN120-00	NULL	1407416-SO	NULL
LDBRS167-1	TELUS	Fiber	10M	NULL	NULL	9295000	10.46.4.32/29	10.46.4.34	1341574	KEL180-00	250-717-1868	1138741-SO	NULL
LDBRS167-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.70.233.204/30	184.70.233.206	1881014333	NULL	NULL	NULL	BI 50
LDBRS169-1	TELUS	STS WAN L3 VPN v2 T1 CE	1.5Mbps	NULL	NULL	1475000	10.46.4.40/29	10.46.4.42	1339784	TUM050-00	250-242-5823	1339784-MO	NULL
LDBRS170-1	TELUS	STS WAN L3 VPN ADSL	NULL	NULL	NULL	875000	10.46.4.48/29	10.46.4.50	1349434	CHIBP0-00	604-824-1481	1349430-SO	NULL
LDBRS172-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	875000	10.46.4.56 /29	10.46.4.58	1347776	SURW90-00	778-578-2095	1347776-SO	NULL
LDBRS173-1	TELUS	ADSL	NULL	NULL	NULL	575000	10.46.4.64/29	10.46.4.66	1430412	MIL010-00	NULL	1140958-SO	NULL
LDBRS174-1	TELUS	STS WAN L3 VPN Fiber CE	10Mbps	NULL	NULL	9295000	10.46.4.72/29	10.46.4.74	1341579	PRGBK0-00	2505633108	1341579-LO	NULL
LDBRS175-1	TELUS	ADSL	NULL	NULL	NULL	835000	10.46.4.80/29	10.46.4.82	1355178	WVA050-00	604-922-8949	1355178-SO	NULL
LDBRS177-1	TELUS	ADSL	NULL	NULL	NULL	815000	10.46.4.88/29	10.46.4.90	1354995	VANV90-00	6048761905	1354995-SO	NULL
LDBRS178-1	TELUS	STS WAN VPN ADSL CE	NULL	NULL	NULL	875000	10.46.4.96/29	10.46.4.98	1347554	VIC620-00	2505190127	1347554-SO	NULL
LDBRS178-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.97.40/30	184.69.97.42	1281772656	NULL	NULL	NULL	BI 50
LDBRS179-1	TELUS	ADSL	NULL	NULL	NULL	875000	10.46.4.104/29	10.46.4.106	1348177	WST160-00	NULL	1140965-SO	NULL
LDBRS181-1	TELUS	STS WAN L3 VPS ADSL CE	NULL	NULL	NULL	885000	10.46.4.112/29	10.46.4.114	1345710	SAH510-00	2507080329	1345710-SO	NULL
LDBRS182-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	875000	10.46.4.64/29	10.46.4.122	1344776	SURBH0-00	604-583-7618	1344766-SO	NULL
LDBRS183-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	875000	10.46.4.128/29	10.46.4.130	1347790	SURAT0-00	604-535-0680	1347790-SO	NULL
LDBRS185-1	TELUS	STS WAN VPN ADSL CE	NULL	NULL	NULL	875000	10.46.4.144/29	10.46.4.146	1347733	CAM710-00	2509230575	1347733-SO	NULL
LDBRS186-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	875000	10.46.4.152/29	10.46.4.154	1352416	LAN240-00	604-455-0269	1352416-SO	NULL
LDBRS187-1	TELUS	ADSL	NULL	NULL	NULL	NULL	10.45.100.0/25	10.45.100.6	1311830	NULL	NULL	NULL	NULL
LDBRS188-1	TELUS	STS WAN L3 VPN ADSL	NULL	NULL	NULL	835000	10.46.4.168/29	10.46.4.170	1405976	NANCW0-00	NULL	1405976-SO	NULL
LDBRS189-1	TELUS	STS WAN L3 VPN ADSL	NULL	NULL	NULL	815000	10.46.4.176/29	10.46.4.178	1352112	ABB990-00	778-856-0318	1352112-SO	NULL
LDBRS191-1	TELUS	ADSL	NULL	NULL	NULL	815000	10.46.4.184/29	10.46.4.186	1355259	VANV80-00	604-801-6368	1355259-SO	NULL
LDBRS192-1	TELUS	STS L3 WAN VPN ADSL	NULL	NULL	NULL	875000	10.46.4.192/29	10.46.4.194	1383958	VAN755-00	NULL	1383958-SO	NULL
LDBRS193-1	TELUS	STS WAN L3 VPN T1 CE	1.5Mbps	NULL	NULL	875000	10.46.6.96/29	10.46.6.98	1335933	BUR950-00	604-437-8309	1335993-SO	NULL
LDBRS194-1	TELUS	STS WAN L3 VPN ADSL	NULL	NULL	NULL	875000	10.46.4.200/29	10.46.4.202	1348124	VANV60-00	604-433-3913	1348124-SO	NULL
